step	loss
0	5.874765872955322
1	6.100471496582031
2	5.852391242980957
3	6.151623725891113
4	6.331420421600342
5	6.156797409057617
6	6.152072906494141
7	5.702744007110596
8	6.038980484008789
9	6.132194519042969
10	5.824267864227295
11	5.989759922027588
12	6.088051795959473
13	6.1359782218933105
14	6.4307732582092285
15	6.206603527069092
16	5.82498025894165
17	6.02283239364624
18	6.040571212768555
19	6.574199199676514
20	6.115398406982422
21	6.4503607749938965
22	6.560303211212158
23	6.239282131195068
24	5.104766845703125
25	5.702181339263916
26	5.674147129058838
27	6.254874229431152
28	6.124106407165527
29	6.09572696685791
30	5.895208358764648
31	6.095559120178223
32	6.140409469604492
33	5.649036407470703
34	5.412572383880615
35	5.971660137176514
36	6.380410671234131
37	6.025937557220459
38	5.9164299964904785
39	5.543272972106934
40	5.57613468170166
41	5.7852678298950195
42	6.146295070648193
43	6.474339008331299
44	6.120498180389404
45	5.978695869445801
46	6.023333549499512
47	5.912293434143066
48	6.1273298263549805
49	5.959413528442383
50	6.59456205368042
51	5.832393646240234
52	6.434929847717285
53	5.643822193145752
54	6.04122257232666
55	5.816750526428223
56	5.984200954437256
57	6.132556915283203
58	5.269503593444824
59	6.163407325744629
60	6.49527645111084
61	5.662351608276367
62	5.622483253479004
63	5.58079719543457
64	6.160609245300293
65	5.917011260986328
66	5.883653163909912
67	5.952894687652588
68	6.470086097717285
69	5.568292617797852
70	5.538729667663574
71	5.889841079711914
72	5.788589954376221
73	5.833740234375
74	5.931166648864746
75	5.932308197021484
76	5.803243160247803
77	6.645732879638672
78	6.04557466506958
79	5.626744270324707
80	6.321182727813721
81	6.208709716796875
82	5.795112133026123
83	5.978622913360596
84	5.959419250488281
85	5.693390369415283
86	5.769219875335693
87	5.471965312957764
88	5.529878616333008
89	5.9882426261901855
90	5.993300437927246
91	5.857076168060303
92	5.915891647338867
93	6.136241912841797
94	5.60107421875
95	6.2059526443481445
96	6.382963180541992
97	6.427572727203369
98	6.3258256912231445
99	6.086292743682861
100	5.824862003326416
101	6.054930686950684
102	6.166420936584473
103	6.116930961608887
104	5.986637592315674
105	6.189428806304932
106	6.091241359710693
107	6.00477409362793
108	5.82637882232666
109	5.934623718261719
110	6.203119277954102
111	6.31586217880249
112	5.874312400817871
113	5.821103572845459
114	5.8634209632873535
115	6.161731719970703
116	6.30986213684082
117	5.891836166381836
118	5.9822797775268555
119	5.890294551849365
120	5.7973551750183105
121	6.120898246765137
122	6.307298183441162
123	6.516495704650879
124	5.937112808227539
125	5.965371608734131
126	6.207959175109863
127	6.386956691741943
128	6.061073303222656
129	6.344405651092529
130	5.495136737823486
131	6.337961673736572
132	6.48806095123291
133	6.123416900634766
134	6.052499771118164
135	6.147150993347168
136	6.089568614959717
137	6.192957401275635
138	5.920566558837891
139	5.936007022857666
140	6.135287284851074
141	5.845320701599121
142	6.738743782043457
143	6.2240118980407715
144	6.422695636749268
145	5.656304359436035
146	6.5216064453125
147	5.760009765625
148	6.365653038024902
149	6.219576835632324
150	6.754756450653076
151	5.968109130859375
152	6.124879837036133
153	6.943887710571289
154	6.64451789855957
155	5.658169269561768
156	6.488985538482666
157	6.0082526206970215
158	5.78781795501709
159	5.475532054901123
160	6.4660725593566895
161	6.4379987716674805
162	6.100414276123047
163	6.58495569229126
164	5.75339412689209
165	5.660600185394287
166	6.561446666717529
167	5.334432601928711
168	6.23983907699585
169	6.712923049926758
170	5.9269280433654785
171	5.75667667388916
172	6.733526706695557
173	6.347456932067871
174	5.996363639831543
175	5.7340922355651855
176	5.923940658569336
177	6.256651878356934
178	5.919491291046143
179	5.706779479980469
180	5.590156078338623
181	6.269861221313477
